file,exists,expected_checksum_available,expected_sha256,actual_sha256,matches_expected
data/raw/fred_dff_raw.json,True,True,4ff980c0a3b7da1224e12923d04f4211d0d803cdf7ece57b2ea847f67dfcf491,4ff980c0a3b7da1224e12923d04f4211d0d803cdf7ece57b2ea847f67dfcf491,True
data/raw/fred_dff.csv,True,True,c1250affeb976e935d09e66e52bbeb8e8081705d287c74d3019d8d865a62c184,c1250affeb976e935d09e66e52bbeb8e8081705d287c74d3019d8d865a62c184,True
data/raw/sp500_raw.csv,True,True,32811cda87b9824f5003b0b105d52536a669eb548549d5c6ccbbabaa6e899e83,32811cda87b9824f5003b0b105d52536a669eb548549d5c6ccbbabaa6e899e83,True
