federal_funds_rate_direction,observation_count,average_daily_return,median_daily_return,daily_return_standard_deviation,minimum_daily_return,maximum_daily_return,positive_return_days,negative_return_days,average_rate_change,positive_return_share,negative_return_share,average_daily_return_percent,median_daily_return_percent,positive_return_share_percent,negative_return_share_percent
decrease,6184,0.0004189966159091736,0.0003438529583288,0.010081475759565514,-0.1198405524039344,0.1078900587797353,3223,2937,-0.22469275549805948,0.5211836998706338,0.4749353169469599,0.04189966159091736,0.034385295832880004,52.11836998706338,47.49353169469599
increase,5761,5.2968185718440184e-05,0.0004076180901655,0.010594970394039227,-0.2046693079969436,0.0647225308620311,3015,2719,0.24162645374067,0.5233466412081236,0.4719666724526992,0.005296818571844018,0.04076180901655,52.334664120812356,47.19666724526992
no_change,6136,0.0005776887906910293,0.0006905106461041,0.009592925470219362,-0.0892952436107991,0.115800369515137,3360,2740,0.0,0.5475880052151239,0.44654498044328556,0.05776887906910293,0.06905106461041,54.758800521512384,44.654498044328555
