variable,description,scale,non_missing_count,missing_count,mean,median,standard_deviation,minimum,percentile_25,percentile_75,maximum
sp500_close,S&P 500 closing index level,index level,18082,0,999.8545352695078,341.9100036621094,1389.7059913065616,29.209999084472656,95.89249992370605,1314.4775085449219,7259.22021484375
sp500_daily_return,Daily percent change in S&P 500 closing level,decimal return,18081,1,0.0003562260500186062,0.000482706569868,0.010089257666618251,-0.2046693079969436,-0.0041553951606726,0.005164354213182,0.115800369515137
sp500_log_return,Daily log return in S&P 500 closing level,log return,18081,1,0.00030504488737180703,0.0004825901045292,0.01012641914244291,-0.2289972860334535,-0.0041640528074293,0.0051510646709277,0.1095719675953384
federal_funds_rate,Federal Funds Effective Rate,percent,18082,0,4.600146001548501,4.31,3.5553538439089656,0.04,1.91,6.13,22.36
federal_funds_rate_change,Daily change in Federal Funds Effective Rate,percentage points,18081,1,0.0001388197555444946,0.0,0.37099682985627763,-7.89,-0.04,0.03,7.790000000000001
