dataset,source_file,row_count,column_count,columns,duplicate_full_rows,duplicate_date_rows,invalid_date_rows,missing_core_value_rows,non_numeric_core_value_rows,date_min,date_max,unique_date_count,missing_calendar_dates_between_min_max,weekend_observation_count,core_value_min,core_value_max,core_value_mean,quality_notes,monday_rows,tuesday_rows,wednesday_rows,thursday_rows,friday_rows,saturday_rows,sunday_rows,high_less_than_low_rows,open_outside_high_low_rows,close_outside_high_low_rows,non_positive_close_rows,negative_volume_rows,zero_volume_rows,missing_numeric_raw_by_column,non_numeric_by_column
Federal Funds Effective Rate,data/raw/fred_dff.csv,26242,4,realtime_start; realtime_end; date; value,0,0,0,0,0,1954-07-01,2026-05-05,26242,0,7498,0.04,22.36,4.599357,Raw FRED data appears to be a complete calendar-day series within its date range. Weekend observations are expected because the series is reported on a calendar-day basis.,3749,3749,3748,3749,3749,3749,3749,,,,,,,,
S&P 500 Index,data/raw/sp500_raw.csv,24703,7,date; adj_close; close; high; low; open; volume,0,0,0,0,0,1927-12-30,2026-05-06,24703,11220,0,4.400000095367432,7365.1201171875,736.281222,Raw S&P 500 data is a trading-day series. Missing calendar dates between the first and last observation are expected because the market is closed on weekends and holidays. Zero-volume rows occur in older index records and should be considered when deciding whether volume is a core analysis variable.,4751,5019,5036,4958,4939,0,0,0.0,0.0,0.0,0.0,0.0,5497.0,open=0; high=0; low=0; close=0; adj_close=0; volume=0,open=0; high=0; low=0; close=0; adj_close=0; volume=0
