observation_count,start_date,end_date,average_federal_funds_rate,average_daily_return,daily_return_standard_deviation,average_sp500_close,summary_type,group,average_daily_return_percent,approx_annualized_return_from_daily_mean
1386,1954-07-02,1959-12-31,2.344141414141414,0.0005466791228909821,0.007547814815061587,45.693917736862645,decade,1950s,0.05466791228909821,0.1476604702962201
2489,1960-01-04,1969-12-31,4.133631980715147,0.00019334020593940427,0.006414010126835624,79.51197264423423,decade,1960s,0.01933402059394043,0.049923204127918064
2526,1970-01-02,1979-12-31,7.099164687252574,9.965583564895966e-05,0.00857090982006886,96.6135510575271,decade,1970s,0.009965583564895967,0.02542998206505742
2528,1980-01-02,1989-12-29,9.969272151898734,0.0005288469136366919,0.010792008890305635,198.6093393096441,decade,1980s,0.052884691363669196,0.1425175390042306
2528,1990-01-02,1999-12-31,5.171246044303797,0.0006032801168166215,0.008881574512657638,653.3031252728233,decade,1990s,0.060328011681662144,0.16413782721902903
2515,2000-01-03,2009-12-31,2.9566560636182904,-1.1655693133801905e-05,0.014002514909981802,1187.2556104292216,decade,2000s,-0.0011655693133801905,-0.0029329422839630137
2516,2010-01-04,2019-12-31,0.613966613672496,0.00046626906616938177,0.009304686569197177,1962.6088541391734,decade,2010s,0.04662690661693818,0.12465061156744217
1593,2020-01-02,2026-05-05,2.7951475204017577,0.0005928659745074948,0.012984093595277042,4705.932924777101,decade,2020s,0.05928659745074948,0.16108853265421197
6384,1966-05-06,2024-09-18,6.755690789473684,0.00047699346954565414,0.009885249761507073,664.316652600329,rate_environment,high_rate_5_to_10pct,0.047699346954565416,0.12769270979646374
4651,1954-07-02,2022-07-27,0.6671791012685444,0.00043204308232241143,0.012388059928011902,1703.2490666716926,rate_environment,low_rate_below_2pct,0.04320430823224114,0.11499658731452
5795,1955-08-04,2026-05-05,3.551099223468507,0.00030042795964621186,0.008183485243298575,995.5929935537606,rate_environment,moderate_rate_2_to_5pct,0.030042795964621186,0.07863513252666143
1251,1969-06-27,1991-01-23,13.084500399680255,-0.00028346562847671484,0.009566866278004644,117.5620941723184,rate_environment,very_high_rate_10pct_or_above,-0.028346562847671484,-0.0689510867987021
